"","time_conv","f_id"
"327",2008-12-22,214
"328",2008-12-23,187
"329",2008-12-24,42
"330",2008-12-25,96
"331",2008-12-26,0
"332",2008-12-27,0
"333",2008-12-28,0
"334",2008-12-29,0
"335",2008-12-30,0
"336",2008-12-31,0
"337",2009-01-01,9
"338",2009-01-02,0
"339",2009-01-03,0
"340",2009-01-04,7
"341",2009-01-05,0
"342",2009-01-06,0
"343",2009-01-07,0
"344",2009-01-08,0
"345",2009-01-09,0
"346",2009-01-10,0
"347",2009-01-11,0
"348",2009-01-12,0
"349",2009-01-13,0
"350",2009-01-14,195
"351",2009-01-15,18
"352",2009-01-16,0
"353",2009-01-17,0
"354",2009-01-18,0
"355",2009-01-19,0
"356",2009-01-20,0
"357",2009-01-21,2
"358",2009-01-22,12
"359",2009-01-23,0
"360",2009-01-24,0
"361",2009-01-25,77
"362",2009-01-26,0
"363",2009-01-27,78
"364",2009-01-28,0
"365",2009-01-29,0
"366",2009-01-30,0
"367",2009-01-31,0
"368",2009-02-01,0
"369",2009-02-02,0
"370",2009-02-03,0
"371",2009-02-04,0
"372",2009-02-05,0
"373",2009-02-06,0
"374",2009-02-07,0
"375",2009-02-08,191
"376",2009-02-09,11
"377",2009-02-10,53
"378",2009-02-11,288
"379",2009-02-12,288
"380",2009-02-13,288
"381",2009-02-14,282
"382",2009-02-15,188
"383",2009-02-16,0
"384",2009-02-17,127
"385",2009-02-18,232
"386",2009-02-19,129
"387",2009-02-20,141
"388",2009-02-21,189
"389",2009-02-22,248
"390",2009-02-23,280
"391",2009-02-24,252
"392",2009-02-25,16
"393",2009-02-26,36
"394",2009-02-27,214
"395",2009-02-28,0
"396",2009-03-01,0
"397",2009-03-02,0
"398",2009-03-03,0
"399",2009-03-04,0
"400",2009-03-05,0
"401",2009-03-06,229
"402",2009-03-07,286
"403",2009-03-08,4
"404",2009-03-09,208
"405",2009-03-10,10
"406",2009-03-11,180
"407",2009-03-12,133
"408",2009-03-13,169
"409",2009-03-14,0
"410",2009-03-15,179
"411",2009-03-16,30
"412",2009-03-17,44
"413",2009-03-18,241
"414",2009-03-19,200
"415",2009-03-20,281
"416",2009-03-21,181
"417",2009-03-22,186
"418",2009-03-23,216
"419",2009-03-24,216
"420",2009-03-25,126
"421",2009-03-26,144
"422",2009-03-27,0
"423",2009-03-28,0
"424",2009-03-29,0
"425",2009-03-30,0
"426",2009-03-31,0
"427",2009-04-01,0
"428",2009-04-02,0
"429",2009-04-03,0
"430",2009-04-04,0
"431",2009-04-05,1
"432",2009-04-06,0
"433",2009-04-07,0
"434",2009-04-08,0
"435",2009-04-09,0
"436",2009-04-10,0
"437",2009-04-11,0
"438",2009-04-12,0
"439",2009-04-13,80
"440",2009-04-14,0
"441",2009-04-15,0
"442",2009-04-16,0
"443",2009-04-17,0
"444",2009-04-18,0
"445",2009-04-19,0
"446",2009-04-20,0
"447",2009-04-21,0
"448",2009-04-22,213
"449",2009-04-23,200
"450",2009-04-24,0
"451",2009-04-25,0
"452",2009-04-26,0
"453",2009-04-27,0
"454",2009-04-28,0
"455",2009-04-29,164
"456",2009-04-30,192
"457",2009-05-01,139
"458",2009-05-02,260
"459",2009-05-03,71
"460",2009-05-04,170
"461",2009-05-05,260
"462",2009-05-06,158
"463",2009-05-07,0
"464",2009-05-08,0
"465",2009-05-09,0
"466",2009-05-10,0
"467",2009-05-11,0
"468",2009-05-12,0
"469",2009-05-13,0
"470",2009-05-14,0
"471",2009-05-15,0
"472",2009-05-16,0
"473",2009-05-17,0
"474",2009-05-18,0
"475",2009-05-19,0
"476",2009-05-20,0
"477",2009-05-21,0
"478",2009-05-22,3
"479",2009-05-23,0
"480",2009-05-24,34
"481",2009-05-25,0
"482",2009-05-26,0
"483",2009-05-27,260
"484",2009-05-28,240
"485",2009-05-29,271
"486",2009-05-30,22
"487",2009-05-31,0
"488",2009-06-01,0
"489",2009-06-02,226
"490",2009-06-03,241
"491",2009-06-04,72
"492",2009-06-05,0
"493",2009-06-06,0
"494",2009-06-07,0
"495",2009-06-08,0
"496",2009-06-09,0
"497",2009-06-10,0
"498",2009-06-11,109
"499",2009-06-12,176
"500",2009-06-13,73
"501",2009-06-14,0
"502",2009-06-15,0
"503",2009-06-16,65
"504",2009-06-17,2
"505",2009-06-18,0
"506",2009-06-19,0
"507",2009-06-20,266
"508",2009-06-21,249
"509",2009-06-22,255
"510",2009-06-23,280
"511",2009-06-24,7
"512",2009-06-25,0
"513",2009-06-26,0
"514",2009-06-27,75
"515",2009-06-28,0
"516",2009-06-29,50
"517",2009-06-30,7
"518",2009-07-01,2
"519",2009-07-02,0
"520",2009-07-03,110
"521",2009-07-04,8
"522",2009-07-05,0
"523",2009-07-06,0
"524",2009-07-07,0
"525",2009-07-08,97
"526",2009-07-09,1
"527",2009-07-10,84
"528",2009-07-11,0
"529",2009-07-12,0
"530",2009-07-13,0
"531",2009-07-14,0
"532",2009-07-15,0
"533",2009-07-16,0
"534",2009-07-17,0
"535",2009-07-18,136
"536",2009-07-19,2
"537",2009-07-20,0
"538",2009-07-21,0
"539",2009-07-22,0
"540",2009-07-23,0
"541",2009-07-24,0
"542",2009-07-25,220
"543",2009-07-26,0
"544",2009-07-27,0
"545",2009-07-28,8
"546",2009-07-29,0
"547",2009-07-30,0
"548",2009-07-31,0
"549",2009-08-01,0
"550",2009-08-02,0
"551",2009-08-03,0
"552",2009-08-04,199
"553",2009-08-05,0
"554",2009-08-06,0
"555",2009-08-07,0
"556",2009-08-08,0
"557",2009-08-09,0
"558",2009-08-10,0
"559",2009-08-11,128
"560",2009-08-12,0
"561",2009-08-13,2
"562",2009-08-14,0
"563",2009-08-15,0
"564",2009-08-16,0
"565",2009-08-17,0
"566",2009-08-18,0
"567",2009-08-19,0
"568",2009-08-20,0
"569",2009-08-21,4
"570",2009-08-22,1
"571",2009-08-23,0
"572",2009-08-24,0
"573",2009-08-25,0
"574",2009-08-26,0
"575",2009-08-27,0
"576",2009-08-28,0
"577",2009-08-29,96
"578",2009-08-30,1
"579",2009-08-31,0
"580",2009-09-01,0
"581",2009-09-02,0
"582",2009-09-03,0
"583",2009-09-04,22
