"","date","all","a014y","a1564y","a6574y","a7584y","a85plusy","mal","fem","inf","ment","cvd","resp","uri","station","f_id","temp","dow"
"197",1998-07-16,4,0,1,2,1,0,3,1,1,0,2,1,0,"Magadino",NA,18.8,"Thursday"
"198",1998-07-17,2,0,0,0,1,1,0,2,2,0,0,0,0,"Magadino",NA,20.7,"Friday"
"199",1998-07-18,6,0,1,1,3,1,2,4,2,0,4,0,0,"Magadino",NA,21.9,"Saturday"
"200",1998-07-19,4,0,2,1,1,0,1,3,0,0,1,2,1,"Magadino",NA,23.2,"Sunday"
"201",1998-07-20,3,0,2,1,0,0,3,0,0,0,3,0,0,"Magadino",NA,24.7,"Monday"
"202",1998-07-21,4,1,1,0,2,0,3,1,0,1,2,0,1,"Magadino",NA,25.3,"Tuesday"
"203",1998-07-22,5,0,0,2,2,1,3,2,1,0,4,0,0,"Magadino",NA,25,"Wednesday"
"204",1998-07-23,4,0,1,1,1,1,4,0,0,0,2,1,1,"Magadino",NA,24.7,"Thursday"
"205",1998-07-24,3,0,1,1,1,0,2,1,0,1,2,0,0,"Magadino",NA,25.4,"Friday"
"206",1998-07-25,3,0,2,0,1,0,2,1,0,0,1,0,2,"Magadino",NA,23.9,"Saturday"
"207",1998-07-26,3,0,0,0,0,3,2,1,0,0,2,1,0,"Magadino",NA,23.5,"Sunday"
"208",1998-07-27,5,0,1,2,1,1,4,1,1,1,1,2,0,"Magadino",NA,20.8,"Monday"
"209",1998-07-28,3,0,0,1,1,1,1,2,0,0,2,0,1,"Magadino",NA,22.3,"Tuesday"
"210",1998-07-29,3,0,2,0,1,0,2,1,1,0,1,1,0,"Magadino",NA,21.9,"Wednesday"
"211",1998-07-30,4,0,2,0,2,0,4,0,0,0,4,0,0,"Magadino",NA,22.7,"Thursday"
"212",1998-07-31,3,0,2,0,0,1,2,1,0,0,2,0,1,"Magadino",NA,22.1,"Friday"
"213",1998-08-01,1,0,0,0,1,0,0,1,0,0,1,0,0,"Magadino",NA,20,"Saturday"
"214",1998-08-02,7,0,4,0,3,0,2,5,1,0,5,1,0,"Magadino",NA,21.7,"Sunday"
"215",1998-08-03,6,0,0,2,3,1,3,3,0,1,4,0,1,"Magadino",NA,19.7,"Monday"
"216",1998-08-04,1,0,1,0,0,0,1,0,0,0,0,0,1,"Magadino",NA,21,"Tuesday"
"217",1998-08-05,2,0,1,0,0,1,1,1,0,1,0,1,0,"Magadino",NA,24.5,"Wednesday"
"218",1998-08-06,3,0,1,1,0,1,1,2,0,0,2,0,1,"Magadino",NA,21.8,"Thursday"
"219",1998-08-07,5,1,2,0,0,2,3,2,1,1,2,1,0,"Magadino",NA,23.2,"Friday"
"220",1998-08-08,2,0,0,0,2,0,0,2,0,0,1,0,1,"Magadino",NA,23.8,"Saturday"
"221",1998-08-09,4,0,2,0,0,2,3,1,0,0,2,0,2,"Magadino",NA,24.7,"Sunday"
"222",1998-08-10,2,0,0,1,0,1,2,0,0,0,1,1,0,"Magadino",NA,25,"Monday"
"223",1998-08-11,3,0,0,1,2,0,1,2,0,0,2,1,0,"Magadino",NA,24.4,"Tuesday"
"224",1998-08-12,4,0,2,1,1,0,3,1,0,0,3,1,0,"Magadino",NA,24.6,"Wednesday"
"225",1998-08-13,7,1,4,1,0,1,4,3,1,1,1,1,3,"Magadino",NA,23.5,"Thursday"
"226",1998-08-14,0,0,0,0,0,0,0,0,0,0,0,0,0,"Magadino",NA,24.1,"Friday"
"227",1998-08-15,3,0,2,0,1,0,2,1,1,0,2,0,0,"Magadino",NA,23.4,"Saturday"
"228",1998-08-16,2,0,0,0,1,1,0,2,0,0,2,0,0,"Magadino",NA,23.1,"Sunday"
"229",1998-08-17,4,0,1,1,2,0,2,2,0,0,3,0,1,"Magadino",NA,22,"Monday"
"230",1998-08-18,2,0,0,2,0,0,0,2,0,1,1,0,0,"Magadino",NA,20.7,"Tuesday"
"231",1998-08-19,2,0,0,1,1,0,2,0,0,0,1,1,0,"Magadino",NA,21,"Wednesday"
"232",1998-08-20,0,0,0,0,0,0,0,0,0,0,0,0,0,"Magadino",NA,21.4,"Thursday"
"233",1998-08-21,4,0,2,0,2,0,2,2,1,0,2,0,1,"Magadino",NA,21.5,"Friday"
"234",1998-08-22,3,0,0,2,1,0,0,3,1,1,1,0,0,"Magadino",NA,21.2,"Saturday"
"235",1998-08-23,3,0,2,0,1,0,2,1,0,0,3,0,0,"Magadino",NA,23.5,"Sunday"
"236",1998-08-24,5,0,2,0,1,2,0,5,0,0,4,0,1,"Magadino",NA,21.5,"Monday"
"237",1998-08-25,4,0,2,1,1,0,2,2,0,1,3,0,0,"Magadino",NA,21.3,"Tuesday"
